DATE,Open,High,Low,Close,PREVIOUS DAY,VOLUME,POSITIVE TWEETS,NEGATIVE TWEETS,sentiments
30715,3.85,3.95,3.8,3.9,3.85,36700000,33,-2,1
30815,3.9,3.9,3.7,3.8,3.9,10900000,49,15,1
30915,3.8,3.9,3.7,3.75,3.8,1030000,25,68,-1
31015,3.75,3.85,3.7,3.75,3.75,426000000,41,-3,1
31115,3.75,3.85,3.7,3.75,3.75,1300000,32,23,1
31215,3.75,3.85,3.75,3.75,3.75,791000000,39,36,1
31315,3.75,3.9,3.75,3.75,3.75,1260000,32,34,-1
31415,3.75,3.85,3.75,3.75,3.75,571000000,30,63,-1
31515,3.75,3.95,3.75,3.85,3.75,2930000,25,16,1
31615,3.85,3.95,3.9,3.9,3.85,2490000,39,2,1
31715,3.9,3.95,3.9,3.9,3.9,440000000,29,64,-1
31815,3.9,3.95,3.85,3.9,3.9,1000000,38,-2,1
31915,3.9,3.95,3.7,3.85,3.9,8100000,35,26,1
32015,3.85,3.9,3.7,3.8,3.85,611000000,26,44,-1
32115,3.8,3.9,3.75,3.85,3.8,774000000,20,8,1
32215,3.85,3.9,3.75,3.8,3.85,4500000,43,53,-1
32315,3.8,3.95,3.85,3.9,3.8,791000000,34,62,-1
32415,3.9,4,3.85,3.95,3.9,12000000,39,3,1
32515,3.95,4.1,3.95,3.95,3.95,3400000,38,34,1
32615,3.95,4.05,3.95,3.95,3.95,1650000,14,67,-1
32715,3.95,4.05,4,4,3.95,1110000,44,5,1
32815,4,4.2,4,4.05,4,2050000,12,7,1
32915,4.05,4.3,4.15,4.25,4.05,13600000,16,56,-1
33015,4.25,4.3,4.2,4.25,4.25,28000000,36,23,1
33115,4.25,4.25,4,4.15,4.25,30400000,38,19,1
40115,4.15,4.1,3.65,3.95,4.15,5600000,14,73,-1
40215,3.95,4.1,4,4,3.95,8500000,34,59,-1
40315,4,4.05,4,4,4,10400000,47,12,1
40415,4,4.1,4,4,4,5750000,16,1,1
40515,4,4.05,4,4,4,3760000,20,39,-1
40615,4,4.05,4,4,4,1220000,35,75,-1
40715,4,4.05,4,4,4,11800000,43,5,1
40815,4,4.05,4,4,4,5830000,47,53,-1
40915,4,4.1,4,4.05,4,7480000,30,14,1
41015,4.05,4.1,4.05,4.1,4.05,9570000,12,33,-1
41115,4.1,4.1,4.05,4.05,4.1,3050000,33,59,-1
41215,4.05,4.15,4.05,4.05,4.05,10300000,21,18,1
41315,4.05,4.1,3.9,4.05,4.05,9190000,20,13,1
41415,4.05,4.05,4,4,4.05,1650000,35,39,-1
41515,4,4.1,4,4.05,4,7620000,43,3,1
41615,4.05,4.05,4,4,4.05,582000000,14,70,-1
41715,4,4.1,4,4.05,4,2680000,27,12,1
41815,4.05,4.15,4.05,4.05,4.05,11600000,16,60,-1
41915,4.05,4.15,4.05,4.1,4.05,7940000,31,-5,1
42015,4.1,4.15,4.05,4.1,4.1,1780000,19,37,-1
42115,4.1,4.15,4.1,4.1,4.1,1300000,46,28,1
42215,4.1,4.15,4.1,4.1,4.1,3000000,36,30,1
42315,4.1,4.15,4.1,4.15,4.1,4690000,17,24,-1
42415,4.15,4.2,4.1,4.2,4.15,8490000,46,36,1
42515,4.2,4.25,4.15,4.2,4.2,803000000,15,55,-1
42615,4.2,4.5,4.2,4.25,4.2,1890000,41,4,1
42715,4.25,4.3,4.25,4.25,4.25,474000000,39,25,1
42815,4.25,4.4,4.25,4.25,4.25,1870000,46,32,1
42915,4.25,4.45,4.3,4.35,4.25,4330000,14,20,-1
43015,4.35,4.5,4.4,4.45,4.35,1440000,19,47,-1
50115,4.45,4.5,4.4,4.4,4.45,831000000,21,16,1
50215,4.4,4.45,4.4,4.4,4.4,9070000,35,36,-1
50315,4.4,4.45,4.4,4.4,4.4,1500000,18,21,-1
50415,4.4,4.4,4.25,4.35,4.4,14600000,49,-10,1
50515,4.35,4.4,4.25,4.35,4.35,2910000,27,2,1
50615,4.35,4.4,4.25,4.35,4.35,1530000,16,25,-1
50715,4.35,4.45,4.25,4.35,4.35,1410000,42,34,1
50815,4.35,4.45,4.35,4.45,4.35,39100000,11,63,-1
50915,4.35,4.55,4.45,4.45,4.45,2490000,20,77,-1
51015,4.45,4.95,4.55,4.8,4.45,7980000,18,34,-1
51115,4.8,4.85,4.8,4.8,4.8,21600000,30,46,-1
51215,4.8,4.8,4.55,4.7,4.8,7260000,23,42,-1
51315,4.7,4.65,4.5,4.55,4.7,12200000,43,3,1
51415,4.55,4.75,4.5,4.6,4.55,18000000,49,-1,1
51515,4.6,4.8,4.65,4.65,4.6,31100000,10,5,1
51615,4.65,4.7,4.55,4.6,4.65,27000000,25,40,-1
51715,4.6,4.85,4.6,4.75,4.6,33600000,32,49,-1
51815,4.75,5,4.75,4.85,4.75,14300000,29,47,-1
51915,4.85,5.05,4.7,4.95,4.85,13200000,13,24,-1
52015,4.95,5.05,4.85,5,4.95,85700000,45,9,1
52115,5,5.3,5,5.2,5,33800000,17,16,1
52215,5.2,5.1,4.85,5,5.2,76700000,33,22,1
52315,5,5,4.85,4.9,5,11700000,45,29,1
52415,4.9,4.95,4.6,4.9,4.9,22600000,44,10,1
52515,4.9,5.05,4.7,5,4.9,21100000,40,15,1
52615,5,5.1,4.9,5.05,5,17500000,43,6,1
52715,5.05,5.1,5,5.05,5.05,40400000,11,56,-1
52815,5.05,5.1,5,5,5.05,10100000,11,5,1
52915,5,5.05,5,5,5,18300000,15,3,1
53015,5,5.1,5,5.05,5,25400000,47,28,1
53115,5.05,5.1,5,5.05,5.05,9540000,24,39,-1
60115,5.05,5.1,5,5,5.05,54000000,49,41,1
60215,5,5.1,5,5.05,5,38400000,37,39,-1
60315,5.05,5.1,5,5.05,5.05,5060000,12,1,1
60415,5.05,5.1,5,5.05,5.05,6410000,45,54,-1
60515,5.05,5.1,5,5.05,5.05,15700000,15,15,0
60615,5.05,5.1,5,5.05,5.05,13100000,30,13,1
60715,5.05,5.1,5.05,5.05,5.05,13600000,32,17,1
60815,5.05,5.1,5.05,5.05,5.05,8070000,21,45,-1
60915,5.05,5.1,5.05,5.05,5.05,12400000,39,26,1
61015,5.1,5.15,5.05,5.1,5.05,7630000,22,12,1
61115,5.05,5.15,5.05,5.05,5.1,595000000,50,36,1
61215,5.05,5.1,5,5.05,5.05,1760000,25,11,1
61315,5,5.15,5,5.1,5.05,3320000,38,21,1
61415,5.1,5.25,5.1,5.15,5.1,7250000,10,5,1
61515,5.2,5.35,5.15,5.25,5.15,4130000,35,35,0
61615,5.2,5.45,5.2,5.35,5.25,4100000,38,25,1
61715,5.4,5.85,5.4,5.6,5.35,11000000,46,24,1
61815,5.65,6,5.5,5.8,5.6,13600000,19,57,-1
61915,5.8,5.8,5.55,5.6,5.8,6690000,10,13,-1
62015,5.6,5.7,5.6,5.6,5.6,4440000,34,54,-1
62115,5.6,5.7,5.6,5.65,5.6,10900000,37,22,1
62215,5.6,5.8,5.55,5.65,5.65,11600000,27,27,0
62315,5.65,5.85,5.65,5.75,5.65,9130000,23,18,1
62415,5.75,5.8,5.7,5.75,5.75,15900000,47,39,1
62515,5.75,5.8,5.75,5.75,5.75,13300000,47,23,1
62615,5.75,5.8,5.5,5.75,5.75,44000000,35,29,1
62715,5.7,5.75,5.55,5.65,5.75,11700000,11,61,-1
62815,5.7,5.75,5.5,5.6,5.65,15400000,22,20,1
62915,5.55,5.7,5.5,5.6,5.6,10700000,21,28,-1
63015,5.6,5.65,5.35,5.6,5.6,8850000,18,57,-1
70115,5.6,5.6,5.25,5.4,5.6,25300000,49,7,1
70215,5.25,5.4,5.2,5.3,5.4,10500000,34,36,-1
70315,5.3,5.5,5.25,5.3,5.3,18400000,25,65,-1
70415,5.3,5.5,5.3,5.45,5.3,3670000,43,51,-1
70515,5.45,5.55,5.4,5.55,5.45,110000000,35,34,1
70615,5.45,5.55,5.35,5.5,5.55,2870000,22,25,-1
70715,5.5,5.6,5.35,5.4,5.5,28000000,32,58,-1
70815,5.4,5.5,5.4,5.4,5.4,3450000,39,31,1
70915,5.4,5.5,5.4,5.4,5.4,36200000,22,1,1
71015,5.5,5.6,5.5,5.55,5.4,18000000,45,17,1
71115,5.55,5.7,5.55,5.65,5.55,9360000,48,41,1
71215,5.65,5.75,5.65,5.7,5.65,25500000,40,31,1
71315,5.7,5.75,5.55,5.7,5.7,20900000,19,28,-1
71415,5.55,5.65,5.55,5.6,5.7,4860000,34,26,1
71515,5.6,5.65,5.55,5.55,5.6,1750000,29,8,1
71615,5.75,5.75,5.55,5.55,5.55,14700000,46,44,1
71715,5.6,5.7,5.6,5.65,5.55,7960000,41,-1,1
71815,5.7,5.8,5.65,5.7,5.65,62300000,35,31,1
71915,5.7,5.75,5.65,5.7,5.7,15000000,12,38,-1
72015,5.7,5.75,5.65,5.7,5.7,8580000,10,48,-1
72115,5.65,5.7,5.65,5.65,5.7,1230000,40,65,-1
72215,5.65,5.75,5.65,5.65,5.65,3610000,27,6,1
72315,5.7,5.8,5.7,5.75,5.65,8030000,36,-6,1
72415,5.75,5.8,5.75,5.75,5.75,4400000,24,57,-1
72515,5.75,5.9,5.75,5.8,5.75,6740000,13,23,-1
72615,5.85,6,5.85,5.95,5.8,13200000,28,51,-1
72715,5.95,6,5.9,5.95,5.95,24000000,34,19,1
72815,5.8,6,5.8,5.95,5.95,23000000,19,20,-1
72915,5.9,6.1,5.9,6,5.95,2750000,35,26,1
73015,6,6.5,6,6.15,6,10000000,41,66,-1
73115,6.25,6.35,6.15,6.25,6.15,24500000,41,-6,1
80115,6.3,6.35,6.25,6.25,6.25,11500000,47,36,1
80215,6.3,6.4,6.25,6.3,6.25,28000000,48,29,1
80315,6.3,6.35,5.9,6.15,6.3,3010000,41,19,1
80415,5.8,6.1,5.8,6,6.15,18500000,26,60,-1
80515,5.95,6,5.9,5.95,6,6550000,24,7,1
80615,6,6,5.85,5.95,5.95,10600000,49,17,1
80715,6,6,5.8,5.85,5.95,2950000,33,0,1
80815,5.85,5.9,5.8,5.8,5.85,3060000,21,9,1
80915,5.85,5.95,5.75,5.8,5.8,17100000,10,67,-1
81015,5.8,5.85,5.6,5.8,5.8,1710000,13,21,-1
81115,5.8,6,5.8,5.95,5.8,9060000,32,28,1
81215,5.95,6.2,5.95,6,5.95,6930000,37,30,1
81315,6.25,6.5,6,6,6,54800000,19,20,-1
81415,6.05,6.25,6.05,6.15,6,2480000,26,32,-1
81515,6.2,6.4,6.15,6.3,6.15,11200000,17,39,-1
81615,6.25,6.4,6.25,6.3,6.3,8920000,30,28,1
81715,6.3,6.4,6.3,6.35,6.3,2150000,25,-12,1
81815,6.4,6.6,6.35,6.45,6.35,30800000,40,74,-1
81915,6.5,6.6,6.5,6.55,6.45,9590000,39,25,1
82015,6.55,6.55,6.3,6.5,6.55,11900000,15,42,-1
82115,6.5,6.5,6.35,6.4,6.5,5660000,26,37,-1
82215,6.35,6.5,6.3,6.4,6.4,13500000,13,9,1
82315,6.45,6.6,6.45,6.45,6.4,35500000,45,27,1
82415,6.55,6.65,6.55,6.55,6.45,34800000,11,36,-1
82515,6.55,6.65,6.55,6.6,6.55,16000000,40,52,-1
82615,6.6,6.65,6.55,6.6,6.6,15100000,18,29,-1
82715,6.6,6.7,6.6,6.6,6.6,13100000,14,64,-1
82815,6.65,6.7,6.6,6.6,6.6,14300000,48,42,1
82915,6.65,6.7,6.6,6.6,6.6,6620000,24,5,1
83015,6.6,6.7,6.6,6.65,6.6,8190000,34,18,1
83115,6.65,6.75,6.65,6.7,6.65,4580000,47,-3,1
90115,6.8,6.95,6.7,6.85,6.7,11200000,15,25,-1
90215,6.9,7.1,6.85,7,6.85,22600000,48,31,1
90315,7,7.2,7,7.05,7,30700000,36,54,-1
90415,7.05,7.15,7.05,7.1,7.05,32800000,39,29,1
90515,7.1,7.2,7.1,7.15,7.1,21700000,20,62,-1
90615,7.15,7.4,7.15,7.2,7.15,30000000,27,0,1
90715,7.25,7.25,7.1,7.2,7.2,30200000,23,70,-1
90815,7.1,7.15,6.8,6.95,7.2,2130000,11,5,1
90915,6.85,7,6.8,6.9,6.95,4880000,36,7,1
91015,6.95,7.2,6.95,7.1,6.9,10300000,35,6,1
91115,7.2,7.55,7.15,7.35,7.1,60000000,23,11,1
91215,7.3,7.3,7.2,7.25,7.35,8850000,19,48,-1
91315,7.25,7.25,7.1,7.15,7.25,6270000,39,33,1
91415,7.1,7.15,7,7,7.15,1830000,44,16,1
91515,7,7.2,7,7.1,7,14300000,18,19,-1
91615,7.1,7.2,7.05,7.15,7.1,23900000,10,-1,1
91715,7.1,7.1,7,7.05,7.15,10200000,14,12,1
91815,7,7.1,6.9,7,7.05,5190000,15,41,-1
91915,7,7.05,6.65,7,7,4150000,27,12,1
92015,7,7.15,7,7.05,7,5790000,25,26,-1
92115,7.05,7.25,7.05,7.15,7.05,9110000,16,62,-1
92215,7.15,7.3,7.15,7.25,7.15,17700000,29,21,1
92315,7.25,7.3,7.2,7.25,7.25,33100000,13,2,1
92415,7.2,7.25,7.15,7.2,7.25,34100000,47,61,-1
92515,7.2,7.2,7.05,7.1,7.2,70200000,34,44,-1
92615,7.05,7.2,7.05,7.1,7.1,72300000,37,53,-1
92715,7.1,7.25,7.1,7.15,7.1,8190000,47,59,-1
92815,7.2,7.25,7.2,7.2,7.15,4140000,40,-16,1
92915,7.2,7.35,7.2,7.25,7.2,5530000,19,57,-1
93015,7.25,7.45,7.25,7.35,7.25,16500000,48,31,1
100115,7.35,7.45,7.3,7.35,7.35,7460000,30,70,-1
100215,7.35,7.4,7.2,7.3,7.35,26200000,45,12,1
100315,7.2,7.2,6.6,7,7.3,12900000,36,-2,1
100415,7,7,6.5,6.7,7,24900000,12,66,-1
100515,6.8,7,6.8,6.9,6.7,2250000,27,-4,1
100615,6.9,7,6.9,6.95,6.9,58600000,41,34,1
100715,6.95,6.95,6.7,6.9,6.95,55200000,29,21,1
100815,6.85,6.85,6.7,6.75,6.9,19100000,31,-9,1
100915,6.75,6.75,6.65,6.7,6.75,2140000,14,18,-1
101015,6.7,6.8,6.65,6.75,6.7,16300000,17,24,-1
101115,6.65,6.75,6.6,6.65,6.75,3010000,10,53,-1
101215,6.6,6.65,6.45,6.5,6.65,28600000,20,27,-1
101315,6.5,6.65,6.45,6.55,6.5,3530000,12,23,-1
101415,6.5,6.6,6.35,6.45,6.55,8280000,49,18,1
101515,6.4,6.5,6.15,6.4,6.45,26400000,25,13,1
101615,6.4,6.5,6.25,6.35,6.4,23600000,30,37,-1
101715,6.4,6.6,6.3,6.45,6.35,7170000,11,42,-1
101815,6.45,6.85,6.45,6.75,6.45,14000000,12,-10,1
101915,6.75,6.8,6.55,6.75,6.75,33700000,48,17,1
102015,6.7,6.75,6.6,6.7,6.75,7490000,41,12,1
102115,6.7,6.85,6.65,6.75,6.7,20300000,35,3,1
102215,6.75,7,6.75,6.9,6.75,1570000,24,27,-1
102315,6.9,7.15,6.9,7.05,6.9,37800000,25,2,1
102415,7.1,7.5,7.1,7.3,7.05,13500000,29,40,-1
102515,7.3,7.5,7.3,7.4,7.3,7010000,43,4,1
102615,7.55,7.55,7.2,7.35,7.4,38600000,23,35,-1
102715,7.3,7.45,7.2,7.3,7.35,15600000,38,49,-1
102815,7.35,7.35,7.2,7.25,7.3,4640000,22,66,-1
102915,7.25,7.3,7,7.1,7.25,6960000,15,27,-1
103015,7.1,7.1,7,7,7.1,21600000,45,16,1
103115,7,7.2,7,7.05,7,5060000,43,55,-1
110115,7.05,7.2,7.05,7.05,7.05,12000000,28,17,1
110215,7.05,7.3,7.05,7.15,7.05,1340000,23,-8,1
110315,7.15,7.3,7.15,7.15,7.15,10200000,49,0,1
110415,7.15,7.35,7.15,7.25,7.15,12100000,20,25,-1
110515,7.3,7.35,7.2,7.3,7.25,13700000,24,64,-1
110615,7.2,7.3,7.2,7.25,7.3,8040000,50,-10,1
110715,7.3,7.35,7.25,7.25,7.25,9790000,35,35,0
110815,7.25,7.35,7.1,7.3,7.25,11500000,32,63,-1
110915,7.3,7.35,7.3,7.3,7.3,1810000,22,36,-1
111015,7.3,7.5,7.3,7.4,7.3,4230000,27,23,1
111115,7.4,8,7.4,7.7,7.4,13800000,33,24,1
111215,7.7,8,7.5,7.85,7.7,9460000,13,3,1
111315,7.65,7.75,7.65,7.65,7.85,3470000,26,21,1
111415,7.65,7.85,7.65,7.75,7.65,21900000,15,-4,1
111515,7.7,8,7.7,7.9,7.75,16700000,31,33,-1
111615,7.9,8.15,7.9,8.05,7.9,23900000,17,59,-1
111715,8.05,8.25,8,8.15,8.05,22200000,28,55,-1
111815,8.15,8.25,8.15,8.2,8.15,9690000,43,6,1
111915,8.2,8.2,8,8.05,8.2,11900000,40,4,1
112015,8,8.05,7.85,7.95,8.05,5170000,34,35,-1
112115,7.9,7.95,7.85,7.9,7.95,3250000,24,36,-1
112215,7.95,8,7.9,7.9,7.9,17700000,44,52,-1
112315,7.9,7.95,7.65,7.75,7.9,9070000,17,33,-1
112415,7.75,7.75,7.45,7.5,7.75,28100000,24,43,-1
112515,7.5,7.8,7.45,7.65,7.5,86800000,46,44,1
112615,7.7,7.8,7.6,7.7,7.65,14200000,39,34,1
112715,7.7,7.8,7.6,7.65,7.7,1300000,42,44,-1
112815,7.7,7.85,7.7,7.75,7.65,2800000,13,56,-1
112915,7.75,7.85,7.7,7.8,7.75,12500000,26,60,-1
113015,7.75,7.9,7.75,7.85,7.8,4950000,39,7,1
120115,7.75,7.9,7.75,7.85,7.85,36500000,27,23,1
120215,7.85,8.25,7.8,8.05,7.85,11100000,34,43,-1
120315,8.1,8.15,8.05,8.1,8.05,7020000,14,14,0
120415,8.1,8.15,8.05,8.05,8.1,15400000,18,29,-1
120515,8.05,8.15,8.05,8.05,8.05,14200000,17,19,-1
120615,7.95,8.1,7.8,8,8.05,13600000,15,14,1
120715,8.05,8.15,8.05,8.1,8,13300000,12,68,-1
120815,8.1,8.25,8.1,8.15,8.1,21700000,25,52,-1
120915,8.2,8.3,8.2,8.2,8.15,7850000,49,54,-1
121015,8.2,8.45,8.2,8.35,8.2,6290000,38,24,1
121115,8.35,8.7,8.35,8.5,8.35,16900000,40,52,-1
121215,8.5,8.5,8.2,8.35,8.5,9330000,34,59,-1
121315,8.2,8.35,8.2,8.25,8.35,31500000,33,20,1
121415,8.3,8.45,8.3,8.4,8.25,29900000,18,-6,1
121515,8.35,8.5,8.3,8.35,8.4,8200000,40,-1,1
121615,8.35,8.4,8.25,8.35,8.35,7270000,49,8,1
121715,8.35,8.7,8.25,8.5,8.35,7220000,16,14,1
121815,8.5,8.75,8.5,8.7,8.5,1820000,23,16,1
121915,8.55,8.95,8.55,8.75,8.7,14100000,17,54,-1
122015,8.7,9,8.7,8.9,8.75,16300000,40,31,1
122115,8.9,8.95,8.9,8.9,8.9,15000000,10,2,1
122215,8.9,9.25,8.9,9.1,8.9,28500000,33,13,1
122315,9.2,9.5,9.2,9.4,9.1,28000000,48,25,1
122415,9.3,9.4,9.1,9.1,9.4,25000000,34,60,-1
122515,9.15,9.15,8.8,9,9.1,39700000,27,66,-1
122615,9,9.1,8.95,9,9,62100000,27,50,-1
122715,9,9.25,9,9.05,9,26200000,21,77,-1
122815,9.1,9.2,9.1,9.15,9.05,25100000,15,58,-1
122915,9.2,9.25,9.1,9.15,9.15,15900000,37,29,1
123015,9.15,9.2,9.05,9.1,9.15,4020000,49,17,1
123115,9.1,9.15,9.05,9.1,9.1,21000000,31,33,-1
10116,9.1,9.15,8.85,8.95,9.1,3800000,30,36,-1
10216,8.5,9.1,8.2,9.05,8.95,45100000,12,20,-1
10316,9.05,9.1,8.8,9.05,9.05,36300000,17,51,-1
10416,9,9.05,8.9,9,9.05,10800000,27,59,-1
10516,9,9.1,8.95,9,9,2190000,13,65,-1
10616,9.05,9.4,9.05,9.25,9,18000000,47,43,1
10716,9.25,9.7,9.25,9.45,9.25,15800000,26,22,1
10816,9.5,9.7,9.5,9.55,9.45,3390000,21,17,1
10916,9.55,9.9,9.5,9.7,9.55,15000000,17,18,-1
11016,9.7,9.8,9.3,9.65,9.7,16200000,39,27,1
11116,9.7,10.2,9.45,9.7,9.65,42000000,13,-3,1
11216,9.45,9.95,9.45,9.85,9.7,23700000,41,73,-1
11316,9.85,9.95,9.6,9.75,9.85,13600000,14,18,-1
11416,9.65,9.9,9.5,9.8,9.75,7120000,18,14,1
11516,9.85,9.9,9.75,9.8,9.8,9920000,46,55,-1
11616,9.8,10,9.75,9.8,9.8,5730000,16,10,1
11716,9.8,9.95,9.8,9.85,9.8,16200000,19,65,-1
11816,9.9,9.95,9.8,9.85,9.85,8730000,35,5,1
11916,9.85,10,9.85,9.9,9.85,6520000,48,36,1
12016,9.85,10.1,9.85,9.95,9.9,8030000,14,9,1
12116,10,10.3,9.95,10.05,9.95,6700000,20,27,-1
12216,10.2,10.75,10.2,10.6,10.05,22900000,46,27,1
12316,10.6,10.9,10.6,10.75,10.6,33600000,19,1,1
12416,10.8,11.05,10.8,10.95,10.75,13800000,10,15,-1
12516,11,11.1,10.95,11,10.95,53100000,26,67,-1
12616,11,11.2,10.95,11,11,9020000,28,79,-1
12716,11.05,11.1,10.9,11,11,9100000,45,9,1
12816,10.9,10.95,10.6,10.8,11,2620000,45,38,1
12916,10.7,11,10.55,10.85,10.8,2930000,15,16,-1
13016,10.95,11,10.75,10.8,10.85,9110000,33,9,1
13116,10.75,10.85,10.55,10.75,10.8,12500000,27,48,-1
20116,10.7,10.7,10,10.35,10.75,24000000,19,22,-1
20216,10.4,10.5,10.2,10.35,10.35,16000000,41,45,-1
20316,10.3,10.4,10.25,10.35,10.35,12700000,36,5,1
20416,10.25,10.35,10.1,10.2,10.35,23900000,48,50,-1
20516,10.2,10.2,9.9,10.05,10.2,26900000,46,55,-1
20616,9.9,10.1,9.6,10,10.05,15600000,50,11,1
20716,9.9,10,9.7,9.85,10,22400000,19,32,-1
20816,9.9,10,9.85,9.95,9.85,15300000,11,35,-1
20916,10,10.1,9.95,10,9.95,16500000,45,34,1
21016,10,10.15,10,10.05,10,8710000,10,26,-1
21116,10.15,10.5,10.1,10.25,10.05,2640000,48,27,1
21216,10.4,11,10.4,10.85,10.25,2990000,50,-7,1
21316,10.55,10.9,10.55,10.75,10.85,7550000,26,9,1
21416,10.75,11,10.6,10.85,10.75,11000000,24,63,-1
21516,10.95,10.95,10.8,10.85,10.85,2460000,19,74,-1
21616,10.9,10.9,10.6,10.75,10.85,3510000,50,62,-1
21716,10.8,10.95,10.75,10.8,10.75,2710000,41,-11,1
21816,10.9,11.15,10.8,11.05,10.8,9520000,11,23,-1
21916,11,11.15,11,11.1,11.05,5570000,36,11,1
22016,11.1,11.65,11.1,11.35,11.1,6690000,21,18,1
22116,11.6,11.95,11.55,11.7,11.35,24700000,50,10,1
22216,11.8,11.95,11.45,11.75,11.7,33400000,45,32,1
22316,11.6,11.75,11.35,11.65,11.75,19400000,37,28,1
22416,11.7,11.75,11.45,11.65,11.65,5700000,21,48,-1
22516,11.7,11.75,11.35,11.7,11.65,8770000,48,46,1
22616,11.7,11.75,11.4,11.5,11.7,9560000,13,61,-1
22716,11.55,11.6,11.5,11.5,11.5,1930000,27,51,-1
22816,11.5,11.8,11.4,11.7,11.5,7600000,27,34,-1
22916,11.7,12,11.65,11.75,11.7,11300000,19,7,1
30116,11.75,12.1,11.75,12,11.75,10500000,25,64,-1
30216,12,12.2,11.95,12.05,12,9790000,31,55,-1
30316,12.2,12.8,12.2,12.45,12.05,16000000,20,31,-1
30416,12.45,12.6,12.25,12.35,12.45,43100000,18,34,-1
30516,12.3,12.4,12,12.05,12.35,10100000,50,30,1
30616,12.05,12.05,11.75,11.85,12.05,14100000,42,-7,1
30716,11.6,11.8,11.4,11.5,11.85,16600000,17,35,-1
30816,11.45,11.45,10.6,11,11.5,12300000,20,6,1
30916,11,11.4,11,11.2,11,15500000,19,52,-1
31016,11.35,11.5,11.3,11.35,11.2,6650000,11,12,-1
31116,11.3,11.85,11.3,11.45,11.35,2270000,17,47,-1
31216,11.5,12.05,11.5,11.95,11.45,28800000,30,44,-1
31316,11.95,12,11.75,11.85,11.95,8470000,49,69,-1
31416,11.85,11.85,11.55,11.75,11.85,12100000,46,32,1
31516,11.85,11.85,11.7,11.8,11.75,14500000,17,27,-1
31616,11.75,11.95,11.75,11.8,11.8,5420000,41,27,1
31716,11.8,11.8,11.65,11.7,11.8,15700000,20,14,1
31816,11.8,12,11.7,11.8,11.7,2460000,28,38,-1
31916,11.8,11.85,11.5,11.65,11.8,9360000,27,46,-1
32016,11.65,11.65,11.45,11.55,11.65,6680000,46,16,1
32116,11.6,11.6,11.35,11.4,11.55,10000000,14,43,-1
32216,11.4,11.5,11.3,11.4,11.4,15900000,24,44,-1
